Input Direction,Data Type,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Compressed Size,Compression Ratio
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,TS_2DIFF,UNCOMPRESSED,617488,460027,15,16,174723.0,0.43680313196868065
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,TS_2DIFF,LZ4,670208,467884,136340,555193,171322.0,0.42830071699282973
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,TS_2DIFF,GZIP,626133,462285,2930795,1025185,168808.0,0.42201577984220157
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,TS_2DIFF,SNAPPY,621879,461229,55339,8498,173371.0,0.43342316576834244
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,RLE,UNCOMPRESSED,1360013,602509,20,15,400434.0,1.001074989250107
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,RLE,LZ4,1581537,639418,497435,1099609,295679.0,0.7391901080989196
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,RLE,GZIP,1412349,582614,35099615,2264008,204970.0,0.5124198758012424
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,RLE,SNAPPY,1357474,591322,736051,269048,315300.0,0.7882421175788247
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,SPRINTZ,UNCOMPRESSED,2557648,830583,22,25,173218.0,0.43304066959330384
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,SPRINTZ,LZ4,2706502,831020,44054,491374,172652.0,0.43162568374316274
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,SPRINTZ,GZIP,2667893,825104,3922876,1120265,162351.0,0.40587344126558733
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,SPRINTZ,SNAPPY,2569925,822085,68754,18773,171342.0,0.42835071649283535
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,GORILLA,UNCOMPRESSED,967177,872094,17,17,423773.0,1.0594219057809433
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,GORILLA,LZ4,1003198,1054095,266544,1149524,396817.0,0.9920325796742026
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,GORILLA,GZIP,971310,862482,40148232,2765260,264405.0,0.6610058899411009
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,GORILLA,SNAPPY,965109,850355,253814,97882,405221.0,1.0130423695763042
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,RLBE,UNCOMPRESSED,75258072,2521267,27,49,337281.0,0.8431940680593187
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,RLBE,LZ4,75674330,2507711,159085,842135,329535.0,0.8238292617073831
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,RLBE,GZIP,75604329,2525671,21161036,2220925,250333.0,0.625826241737582
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,RLBE,SNAPPY,75948059,2512459,548596,158798,317131.0,0.7928195718042822
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,RAKE,UNCOMPRESSED,25962057,175,550,123,585058.0,1.462630373696263
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,RAKE,LZ4,26131401,319,709197,1079956,316980.0,0.7924420755792448
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,RAKE,GZIP,26057889,241,17726933,2734365,229165.0,0.5729067709322911
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,RAKE,SNAPPY,26198710,209,1048458,287069,313373.0,0.7834246657533435
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,BUFF,UNCOMPRESSED,4874435,996928,16,20,212519.0,0.5312921870781294
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,BUFF,LZ4,5045902,1009180,25149,610191,213326.0,0.5333096669033314
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,BUFF,GZIP,5021147,1005685,5825523,1406212,197687.0,0.49421255787442075
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,BUFF,SNAPPY,4880539,999762,23446,9180,212325.0,0.5308071919280802
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,CHIMP,UNCOMPRESSED,1562257,1337375,15,14,242347.0,0.6058614413855857
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,CHIMP,LZ4,1532374,1442549,50695,691304,243218.0,0.6080389196108031
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,CHIMP,GZIP,1520036,1314911,13682798,1656945,203492.0,0.5087249127508722
./Datasets/Real-World/Numerical/INT32/data/5.csv,INT32,CHIMP,SNAPPY,1490953,1283989,69991,20945,241537.0,0.6038364616353844
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,PLAIN,UNCOMPRESSED,576744,206062,6,20,400004.0,1.0
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,PLAIN,LZ4,606811,210089,477325,710418,161761.0,0.4043984560154395
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,PLAIN,GZIP,611246,202032,14695043,1316596,83940.0,0.20984790152098465
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,PLAIN,SNAPPY,580215,207560,668473,291001,183794.0,0.45948040519594746
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,TS_2DIFF,UNCOMPRESSED,527088,390839,20,14,74448.0,0.186118138818612
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,TS_2DIFF,LZ4,536316,440107,47314,264265,68332.0,0.17082829171708278
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,TS_2DIFF,GZIP,530015,396520,1098800,435598,63914.0,0.15978340216597853
./Datasets/Real-World/Numerical/INT32/data/4.csv,INT32,TS_2DIFF,SNAPPY,528494,390742,52299,8215,68331.0,0.17082579174208243
